SECCIO_CENSAL;HOMES;DONES;EDAT_0_A_14;EDAT_15_A_24;EDAT_25_A_64;EDAT_65_A_MES;NACIONALS;COMUNITARIS;ESTRANGERS
01001;702;569;135;111;814;211;707;148;416
01002;904;681;160;199;998;228;702;183;700
01003;1925;1567;735;357;1982;418;1917;215;1360
01004;1583;1322;395;313;1894;303;1621;307;977
01005;1397;1111;297;239;1616;356;1311;307;890
01006;919;724;155;183;1097;208;742;251;650
01007;1268;819;273;210;1459;145;988;206;893
01008;2041;1309;465;387;2112;386;1439;249;1662
01009;1187;964;294;230;1342;285;1095;173;883
01010;1412;1084;356;305;1607;228;1029;180;1287
01011;1805;1397;462;329;2125;286;1414;245;1543
01012;978;921;249;170;1244;236;1064;165;670
01013;676;735;183;110;874;244;860;89;462
01014;1061;943;231;187;1359;227;1113;151;740
01015;1228;1108;289;232;1535;280;1188;183;965
01016;1115;1069;278;210;1467;229;1067;157;960
01017;1327;1280;360;261;1733;253;1240;213;1154
01018;860;781;189;172;1048;232;885;139;617
01019;1522;1309;300;295;1908;328;1335;315;1181
01020;993;1117;163;174;1407;366;1312;399;399
01021;1019;1017;153;171;1395;317;1210;325;501
01022;595;668;98;120;833;212;779;253;231
01023;959;1031;166;168;1349;307;1260;329;401
01025;643;615;105;106;882;165;709;281;268
01026;1519;1085;255;269;1818;262;1282;479;843
01027;838;802;125;157;1101;257;930;366;344
01028;922;950;166;174;1299;233;1012;397;463
01029;716;674;86;133;988;183;654;389;347
01030;1277;1194;216;249;1569;437;1411;477;583
01031;905;711;135;149;1144;188;750;365;501
01032;885;888;115;129;1177;352;1101;363;309
01033;605;537;86;103;765;188;723;175;244
01034;477;496;65;90;633;185;628;183;162
01035;659;654;95;100;884;234;793;256;264
01036;569;630;106;145;707;241;943;108;148
01037;702;781;174;133;882;294;1130;152;201
01038;779;689;118;114;1029;207;824;302;342
01039;664;634;116;115;815;252;908;174;216
01040;544;552;93;86;713;204;669;215;212
01041;767;729;117;126;1099;154;799;355;342
01042;827;974;179;143;962;517;1446;165;190
01043;764;743;157;93;1075;182;958;315;234
01044;702;795;173;110;1013;201;936;314;247
01045;1016;972;132;131;1434;291;1132;494;362
01046;855;872;138;140;1223;226;954;403;370
01047;884;925;139;166;1230;274;1001;366;442
01048;1077;1074;225;165;1468;293;1276;373;502
01049;729;801;196;157;957;220;898;271;361
01050;819;784;160;126;1086;231;920;275;408
01051;925;956;205;174;1330;172;986;347;548
01052;1368;1218;263;425;1566;332;1413;492;681
01053;935;984;162;165;1235;357;1235;317;367
01054;683;651;108;109;922;195;766;262;306
01055;629;694;153;97;739;334;1005;170;148
02001;606;673;186;100;762;231;947;104;228
02002;1220;1087;248;171;1413;475;1585;214;508
02003;557;735;114;191;643;344;1034;86;172
02004;737;761;170;140;881;307;1089;150;259
02005;963;1132;251;160;1174;510;1754;115;226
02006;771;865;209;119;926;382;1277;152;207
02007;552;704;124;98;706;328;1012;123;121
02008;861;1036;221;184;1078;414;1532;167;198
02009;812;966;220;150;1048;360;1383;130;265
02010;547;655;151;95;704;252;990;93;119
02011;539;576;117;118;625;255;979;65;71
02012;761;826;169;138;977;303;1237;106;244
02013;549;599;140;89;717;202;895;113;140
02014;672;670;173;96;863;210;965;175;202
02015;756;820;164;131;946;335;1197;148;231
02016;874;1044;201;147;1146;424;1567;140;211
02017;930;1065;249;188;1164;394;1559;173;263
02018;874;995;229;154;995;491;1560;119;190
02019;901;1016;203;159;1122;433;1565;113;239
02020;635;770;141;121;885;258;1072;127;206
02021;680;801;140;108;871;362;1180;131;170
02022;620;668;145;129;738;276;1044;54;190
02023;531;602;94;107;665;267;974;49;110
02024;501;606;88;111;688;220;849;64;194
02025;558;637;120;94;700;281;960;95;140
02026;996;1168;250;194;1255;465;1722;135;307
02027;893;1057;202;143;1140;465;1657;96;197
02028;950;1115;214;203;1212;436;1650;114;301
02029;541;634;140;88;688;259;976;83;116
02030;614;695;175;102;771;261;1032;69;208
02031;500;559;137;72;571;279;942;31;86
02032;504;725;125;83;651;370;1058;74;97
02033;538;650;128;83;697;280;982;78;128
02034;558;660;108;103;739;268;884;67;267
02035;621;707;122;109;737;360;1096;73;159
02036;540;657;129;125;682;261;1016;63;118
02037;591;640;131;116;729;255;1090;62;79
02038;774;868;168;195;1004;275;1417;79;146
02039;753;983;180;147;1011;398;1402;100;234
02040;780;890;175;112;1064;319;1243;116;311
02041;752;930;151;119;975;437;1387;91;204
02042;760;909;161;134;910;464;1500;50;119
02043;664;779;177;136;844;286;1251;58;134
02044;546;709;125;115;693;322;992;54;209
02045;536;636;129;89;652;302;980;62;130
02046;868;1006;205;180;1060;429;1525;98;251
02047;899;1006;192;168;1081;464;1559;100;246
02048;566;683;135;113;746;255;961;71;217
02049;928;1137;171;153;1251;490;1503;177;385
02050;746;901;155;131;1019;342;1255;132;260
02051;857;1049;181;136;1182;407;1405;167;334
02052;820;1005;194;152;1124;355;1405;165;255
02053;848;994;228;150;1090;374;1489;134;219
02054;849;1023;229;138;1081;424;1524;131;217
02055;870;996;191;169;1090;416;1509;125;232
02056;629;820;165;104;841;339;1154;158;137
02057;612;694;186;107;693;320;1100;115;91
02058;627;757;169;110;757;348;1200;91;93
02059;742;918;202;139;949;370;1363;164;133
02060;786;929;234;142;945;394;1408;121;186
02061;594;741;136;100;838;261;1027;137;171
02062;718;840;210;109;947;292;1236;179;143
02063;475;745;138;106;579;397;1034;107;79
02064;629;722;162;119;761;309;1110;120;121
02065;887;1014;225;170;1165;341;1476;213;212
02066;834;957;182;143;1011;455;1532;109;150
02067;803;923;203;118;1134;271;1262;211;253
02068;768;907;194;137;1022;322;1298;177;200
02069;664;751;180;130;804;301;1120;142;153
02070;607;707;180;114;747;273;1081;116;117
02071;811;884;228;182;977;308;1420;160;115
02072;587;630;158;130;693;236;1027;107;83
02073;820;906;218;173;1027;308;1323;256;147
02074;639;631;185;108;748;229;922;188;160
02075;595;641;151;120;727;238;926;183;127
02076;783;878;236;166;957;302;1277;190;194
02077;778;752;149;148;925;308;1067;195;268
02078;666;792;152;147;834;325;1053;160;245
02079;627;694;153;119;740;309;989;145;187
02080;704;779;175;140;816;352;1188;155;140
02081;982;1171;217;218;1186;532;1672;218;263
02082;431;521;99;86;530;237;761;94;97
02083;841;1033;252;182;1026;414;1401;205;268
02084;900;1116;252;162;1185;417;1607;179;230
02085;664;815;186;123;871;299;1156;156;167
02086;671;801;208;137;870;257;1186;152;134
02087;647;793;175;111;848;306;1193;92;155
02088;743;909;188;148;961;355;1327;170;155
02089;910;1028;216;175;1205;342;1496;217;225
02090;779;892;171;142;1028;330;1237;185;249
02091;904;929;181;156;1174;322;1339;201;293
02092;1052;908;135;166;1304;355;1298;246;416
02093;779;827;161;155;937;353;1256;153;197
02094;680;757;109;120;873;335;1160;109;168
02095;733;798;146;135;922;328;1186;114;231
02096;669;739;109;122;850;327;1091;140;177
02097;520;596;130;95;678;213;842;99;175
02098;679;849;128;143;951;306;1173;135;220
02099;726;829;164;162;899;330;1238;113;204
02100;669;763;138;121;864;309;1184;89;159
02101;992;1180;250;174;1217;531;1736;147;289
02102;635;812;180;148;767;352;1258;48;141
02103;793;915;162;139;1018;389;1325;108;275
02104;518;642;136;83;664;277;997;52;111
02105;928;1138;225;167;1209;465;1643;144;279
02106;692;755;196;92;833;326;1182;88;177
02107;738;899;209;139;855;434;1432;100;105
02108;709;924;212;129;830;462;1432;71;130
02109;923;1114;240;189;1072;536;1771;108;158
02110;908;1031;251;177;1136;375;1522;133;284
02111;801;973;190;146;1031;407;1431;101;242
02112;624;748;147;108;722;395;1204;69;99
02113;1022;1133;279;165;1150;561;1837;87;231
02114;747;919;191;125;862;488;1392;72;202
02115;617;733;178;97;738;337;1094;73;183
02116;494;578;140;94;608;230;953;34;85
02117;550;641;127;77;636;351;1026;57;108
02118;679;805;180;146;856;302;1250;75;159
02119;585;708;141;105;728;319;1118;57;118
02120;572;643;124;107;691;293;1053;64;98
02121;557;669;143;94;698;291;1064;62;100
02122;488;617;98;102;638;267;947;61;97
02123;547;609;108;78;727;243;927;80;149
02124;508;586;110;104;579;301;999;32;63
02125;764;950;197;137;910;470;1498;70;146
02126;679;823;153;135;859;355;1331;61;110
02127;566;620;127;84;728;247;946;76;164
02128;609;698;123;116;769;299;1029;69;209
02129;711;838;128;123;930;368;1259;71;219
02130;533;572;109;106;582;308;1010;27;68
02131;592;657;116;103;731;299;991;80;178
02132;558;626;104;95;716;269;957;56;171
02133;396;479;81;53;400;341;787;22;66
02134;664;756;118;117;830;355;1200;86;134
02135;991;1118;217;153;1323;416;1675;138;296
02136;421;482;82;75;526;220;773;30;100
02137;672;782;169;127;861;297;1131;104;219
02138;939;1017;222;164;1061;509;1642;102;212
02139;772;889;158;137;1041;325;1247;119;295
02140;920;1022;188;183;1144;427;1612;111;219
02141;592;682;139;111;762;262;1004;71;199
02142;951;1090;213;170;1246;412;1569;133;339
02143;646;639;128;98;773;286;978;110;197
02144;704;811;148;155;915;297;1172;145;198
02145;599;631;129;134;790;177;928;92;210
02146;533;616;102;89;688;270;936;74;139
02147;992;1173;238;180;1311;436;1734;151;280
02148;729;865;155;125;950;364;1300;117;177
02149;859;959;215;148;1114;341;1410;143;265
02150;727;773;151;169;866;314;1148;116;236
02151;696;787;143;125;925;290;1147;140;196
02152;545;687;115;90;659;368;1056;68;108
02153;615;748;141;118;703;401;1146;54;163
02154;510;562;91;92;677;212;726;89;257
02155;861;1006;190;155;1038;484;1531;112;224
02156;603;676;107;97;688;387;1063;66;150
02157;551;654;152;90;643;320;970;70;165
02158;755;862;170;117;881;449;1358;97;162
02159;888;966;194;168;1116;376;1467;132;255
02160;974;1041;213;149;1213;440;1647;144;224
02161;538;578;127;87;655;247;892;94;130
02162;659;722;129;122;788;342;1087;80;214
02163;863;969;176;163;1090;403;1464;163;205
02164;678;779;148;116;917;276;1060;179;218
02165;813;898;182;119;1018;392;1337;119;255
02166;1007;1113;232;159;1325;404;1593;165;362
02167;1029;1080;228;169;1182;530;1739;141;229
02168;1056;1165;232;172;1362;455;1713;174;334
02169;771;811;172;136;964;310;1256;126;200
02170;760;819;149;132;951;347;1275;103;201
02171;804;875;179;145;953;402;1246;105;328
02172;782;843;174;139;1007;305;1219;143;263
02173;723;817;166;110;934;330;1263;101;176
03001;772;889;165;136;977;383;1319;89;253
03002;1008;1072;239;154;1303;384;1468;182;430
03003;811;892;205;151;1078;269;1121;153;429
03004;743;815;171;110;976;301;1198;120;240
03005;630;655;145;86;753;301;944;91;250
03006;718;692;158;127;907;218;976;152;282
03007;826;872;215;157;1006;320;1273;110;315
03008;582;657;141;95;786;217;863;97;279
03009;569;641;127;96;732;255;903;81;226
03010;982;944;211;226;1216;273;1247;147;532
03011;874;900;233;176;1129;236;1098;174;502
03012;1025;1110;234;175;1382;344;1435;212;488
03013;989;926;225;203;1248;239;1197;233;485
03014;946;898;199;138;1240;267;1172;199;473
03015;1491;1512;349;274;1904;476;1960;283;760
03016;595;607;131;131;762;178;758;114;330
03017;846;798;213;138;1059;234;1024;172;448
03018;864;870;220;165;1016;333;1239;112;383
03019;699;788;179;113;954;241;967;133;387
03020;608;593;115;82;679;325;993;54;154
03021;540;623;101;85;614;363;990;36;137
03022;728;743;191;120;890;270;1116;97;258
03023;987;996;252;141;1309;281;1356;184;443
03024;1027;1026;271;159;1347;276;1480;223;350
03025;603;560;147;109;687;220;1066;9;88
03026;493;525;110;68;440;400;925;15;78
03027;874;942;267;184;972;393;1644;39;133
03028;1174;1264;553;179;1418;288;2055;90;293
03029;610;685;153;145;716;281;1173;33;89
03030;734;854;167;161;869;391;1375;42;171
03031;1194;1287;324;243;1412;502;2226;49;206
